episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,lateral,timeout,10.0
1,0.2,lateral,timeout,10.0
2,0.2,lateral,timeout,10.0
3,0.2,lateral,timeout,10.0
4,0.2,lateral,timeout,10.0
5,0.4,lateral,timeout,10.0
6,0.4,lateral,timeout,10.0
7,0.4,lateral,timeout,10.0
8,0.4,lateral,timeout,10.0
9,0.4,lateral,timeout,10.0
10,0.6,lateral,timeout,10.0
11,0.6,lateral,timeout,10.0
12,0.6,lateral,timeout,10.0
13,0.6,lateral,timeout,10.0
14,0.6,lateral,timeout,10.0
15,0.8,lateral,timeout,10.0
16,0.8,lateral,timeout,10.0
17,0.8,lateral,timeout,10.0
18,0.8,lateral,timeout,10.0
19,0.8,lateral,timeout,10.0
20,1.0,lateral,timeout,10.0
21,1.0,lateral,timeout,10.0
22,1.0,lateral,timeout,10.0
23,1.0,lateral,timeout,10.0
24,1.0,lateral,timeout,10.0
25,1.2,lateral,timeout,10.0
26,1.2,lateral,timeout,10.0
27,1.2,lateral,timeout,10.0
28,1.2,lateral,timeout,10.0
29,1.2,lateral,timeout,10.0
30,1.4,lateral,timeout,10.0
31,1.4,lateral,timeout,10.0
32,1.4,lateral,timeout,10.0
33,1.4,lateral,timeout,10.0
34,1.4,lateral,timeout,10.0
35,1.6,lateral,timeout,10.0
36,1.6,lateral,timeout,10.0
37,1.6,lateral,timeout,10.0
38,1.6,lateral,timeout,10.0
39,1.6,lateral,timeout,10.0
40,1.8,lateral,timeout,10.0
41,1.8,lateral,timeout,10.0
42,1.8,lateral,timeout,10.0
43,1.8,lateral,timeout,10.0
44,1.8,lateral,timeout,10.0
45,2.0,lateral,timeout,10.0
46,2.0,lateral,timeout,10.0
47,2.0,lateral,timeout,10.0
48,2.0,lateral,timeout,10.0
49,2.0,lateral,timeout,10.0
50,2.2,lateral,timeout,10.0
51,2.2,lateral,fall,1.394
52,2.2,lateral,timeout,10.0
53,2.2,lateral,fall,9.938
54,2.2,lateral,timeout,10.0
55,2.4,lateral,fall,5.33
56,2.4,lateral,fall,1.82
57,2.4,lateral,fall,1.58
58,2.4,lateral,fall,0.76
59,2.4,lateral,timeout,10.0
60,2.6,lateral,fall,2.28
61,2.6,lateral,fall,4.212
62,2.6,lateral,fall,0.728
63,2.6,lateral,fall,2.234
64,2.6,lateral,fall,1.452
65,2.8,lateral,fall,1.294
66,2.8,lateral,fall,1.132
67,2.8,lateral,fall,2.536
68,2.8,lateral,fall,3.702
69,2.8,lateral,fall,0.746
70,3.0,lateral,fall,1.446
71,3.0,lateral,fall,1.178
72,3.0,lateral,fall,0.912
73,3.0,lateral,fall,1.942
74,3.0,lateral,fall,1.47
